tag cell policy workload rate plen rep gates_ok offered goodput deliv lat_p50 lat_p90 lat_p99 lat_p999 under_slo resp censored sockdrops app_ns c_net_ns cyc refcyc cpu8_busy_s softirq_s napi_s wire_ok layers_ok snd_full
fig1-3c W1-P0X-r1050000-p64 P0X W1 1050000 64 1 0 1050000 794690 0.760 12.5 24.5 27.5 32.5 - - - 1151 1101 1200 513.6 236.8 60.06 0.00 0.00 0 0 5
fig1-3c W1-P0X-r1050000-p64 P0X W1 1050000 64 2 0 1050000 772840 0.740 11.5 23.5 24.5 26.5 - - - 1 1083 1233 534.8 246.6 60.05 0.00 0.00 0 0 5
fig1-3c W1-P0X-r1050000-p64 P0X W1 1050000 64 3 0 1050000 768812 0.737 11.5 23.5 24.5 26.5 - - - 1 1086 1240 535.0 246.7 60.04 0.00 0.00 0 0 5
fig1-3c W1-P0X-r1300000-p64 P0X W1 1300000 64 1 0 1300000 767112 0.595 11.5 23.5 24.5 26.5 - - - 1 1086 1243 557.8 257.2 60.05 0.00 0.00 0 0 5
fig1-3c W1-P0X-r1300000-p64 P0X W1 1300000 64 2 0 1300000 775455 0.601 11.5 23.5 24.5 26.5 - - - 1 1083 1229 527.1 243.0 60.05 0.00 0.00 0 0 5
fig1-3c W1-P0X-r1300000-p64 P0X W1 1300000 64 3 0 1300000 797651 0.618 12.5 23.5 25.5 32.5 - - - 947 1102 1195 537.7 247.9 60.04 0.00 0.00 0 0 5
fig1-3c W1-P0X-r525000-p64 P0X W1 525000 64 3 1 525000 522516 0.999 12.5 23.5 30.5 40.5 - - - 9 1110 16 539.1 248.6 0.53 0.00 0.00 1 1 5
fig1-3c W1-P0X-r790000-p64 P0X W1 790000 64 1 0 790000 769481 0.978 11.5 23.5 24.5 26.5 - - - 1 1084 1239 535.0 246.7 60.04 0.00 0.00 0 1 5
fig1-3c W1-P0X-r790000-p64 P0X W1 790000 64 2 1 790000 771918 0.981 11.5 23.5 24.5 26.5 - - - 1 1082 1234 500.6 230.8 60.03 0.00 0.00 1 1 5
fig1-3c W1-P0X-r790000-p64 P0X W1 790000 64 3 0 790000 770282 0.979 11.5 23.5 23.5 26.5 - - - 1 1082 1237 533.3 245.9 60.04 0.00 0.00 1 1 5
fig1-3c W1-P2-r1050000-p64 P2 W1 1050000 64 1 0 1050000 283318 0.274 101.5 3180.5 3484.5 3634.5 - - - 25336238 1608 1822 434.1 200.2 60.11 0.00 32.52 0 0 5
fig1-3c W1-P2-r1050000-p64 P2 W1 1050000 64 2 0 1050000 279210 0.270 102.5 3194.5 3497.5 3643.5 - - - 25579894 1606 1883 433.2 199.8 60.12 0.00 33.13 0 0 5
